map;Runway Name;Start Latitude;Start Longitude;End Latitude;End Longitude
Heathrow International LHR;09R/27L;51.464786;-0.486215;51.464960;-0.434167
Heathrow International LHR;09L/27R;51.477507;-0.484779;51.477680;-0.433608
Gatwick Airport LGW;08R/26L;51.145894;-0.206601;51.150615;-0.172339
Gatwick Airport LGW;08L/26R;51.147524;-0.208095;51.151038;-0.182605
London Luton Airport LTN;08/26;51.872206;-0.382491;51.877005;-0.354714
London Stansted Airport STN;04/22;51.877290;0.223221;51.894785;0.249464
Manchester Airport MAN;05R/23L;53.332186;-2.310230;53.347935;-2.277597
Manchester Airport MAN;05L/23R;53.345889;-2.291218;53.361281;-2.259368
Edinburgh Airport EDI;06/24;55.945051;-3.387046;55.954851;-3.358137
Birmingham Airport BHX;15/33;52.463480;-1.758723;52.446391;-1.739720
Glasgow Airport GLA;05/23;55.863676;-4.448690;55.877802;-4.42203
Bristol Airport BRS;09/27;51.382115;-2.733509;51.383147;-2.706947
Belfast International Airport BFS;04/22;54.612150;-5.879630;54.4548;-5.864801
Newcastle International Airport NCL;07/25;55.033994;-1.704618;55.041687;-1.675631
Jersey JER;08/26;49.207049;-2.206104;49.208820;-2.184851
Inverness INV;05/23;57.537363;-4.058743;57.547577;-4.036501
Isle of Man Ronaldsway Airport IOM;08/26;54.081927;-4.634575;54.08472;-4.612283
Torshavn (Feroyar) FAE - Intl' ;12/30;62.066794;-7.289737;62.059670;-7.261102
Reykjavik (Keflavik) KEF - Iceland Intl';10/28;63.985046;-22.653944;63.985024;-22.593471
Reykjavik (Keflavik) KEF - Iceland Intl';01/19;63.964968;-22.605506;63.991327;-22.605478
Dublin International DUB;10/28;53.422395;-6.289392;53.420301;-6.251242
Galway Airport GWY;08/26;53.298892;-8.949824;53.301527;-8.932946
Cork Airport ORK;16/34;51.849965;-8.496241;51.832775;-8.486066
Sumburght Aiport LSI (Shetland Island);09/27;59.880811;-1.305491;59.882101;-1.282781
Sumburght Aiport LSI (Shetland Island);15/33;59.880513;-1.298503;59.873230;-1.287736
Akuyeri Aiport AEY;01/19;65.645867;-18.069896;65.667292;-18.074038
Shannon Airport SNN;06/24;52.693346;-8.943167;52.709772;-8.908252
Cardiff Airport CWL;12/30;51.400457;-3.355519;51.392447;-3.330182
Aberdeen International Airport ABZ;16/34;57.210329;-2.203980;57.194536;-2.192326
