Point;Latitude;Longitude
ABMGA; 65.8603;-17.4722
ALDAN; 62.9803;-18.7639
ARBEX; 63.5747;-20.9839
ARNAR; 64.6808;-18.5503
ASKJA; 64.8708;-17.2611
ASKUR; 65.1956;-18.6917
BAKKI; 63.8675;-21.2942
BAULA; 64.9394;-14.6931
BLAMI; 64.48  ;-19.8197
BREKI; 62.5383;-19.5467
BRUSI; 65.0789;-15.7311
CELLO; 62.2383;-20.4683
CONNY; 61.9   ;-5.58333
DROMI; 62.995 ;-26.5067
EGILL; 65.0347;-14.6794
EMBLA; 63.47  ;-26.9817
ENIKA; 64.4533;-23.703
ENIMI; 64.2209;-23.155
ES001; 65.2609;-14.4294
ES005; 65.202 ;-14.5024
ES008; 65.1725;-14.5386
FELLI; 65.3542;-15.1744
FJARA; 63.6589;-18.0547
FLOSI; 64.055 ;-27.1783
GAKTU; 63.96  ; -20.7247
GF050; 64.2128; -21.9515
GIMLI; 64.6408; -26.9783
HEKLA; 65.1133; -26.4617
HOLAR; 65.7233; -17.0272
IES01; 65.2608; -14.4253
IES03; 65.2311; -14.4609
IES04; 65.2162; -14.4787
IES05; 65.2014; -14.4965
IES06; 65.1865; -14.5143
IES08; 65.1568; -14.5497
IES09; 65.1414; -14.5674
IES10; 65.1237; -14.5851
IKN03; 63.9175; -22.6099
IKN07; 63.851 ; -22.6133
IKN70; 63.9555; -22.6078
IRE03; 64.1072; -21.8312
IRE04; 64.1561; -21.9406
IRE07; 64.1945; -22.107
IRE13; 64.1193; -21.9
IRE14; 64.1189; -21.8972
IRE25; 64.5151; -22.2918
IRE30; 64.1158; -21.9379
IRE31; 64.1151; -21.9422
IRE34; 64.7004; -22.7215
IRE40; 64.7022; -22.7103
KEF01; 63.9859; -22.5729
KEF02; 64.0427; -22.8894
KEF03; 64.0835; -22.5594
KEF04; 63.9207; -22.5987
KEF05; 64.0119; -22.9119
KEF06; 63.8877; -22.5909
KEF07; 64.1054; -22.5966
KEF08; 64.1196; -22.5968
KEF09; 64.0013; -22.6063
KEF10; 64.0551; -22.5997
KEF11; 63.9814; -22.3879
KEF12; 64.1802; -22.5039
KEF13; 63.9975; -22.6033
KEF14; 64.1683; -22.2498
KEF15; 63.7389; -22.5557
KEF16; 63.8712; -22.5869
KEF17; 64.0115; -22.6066
KEF19; 63.9538; -22.6066
KEF20; 63.9805; -22.3501
KEF22; 63.9833; -22.4634
KEF23; 63.9855; -22.5578
KEF24; 63.6587; -23.9228
KEF25; 63.8187; -24.0742
KEF26; 63.9727; -22.0481
KEF27; 63.9883; -22.8793
KEF28; 63.9854; -22.6749
KEF30; 64.1019; -22.5775
KEF31; 63.983 ; -22.7278
KEF33; 64.0137; -24.1273
KEF34; 64.0341; -22.587
KEF35; 64.0358; -22.8549
KEF36; 64.0088; -22.8747
KEF37; 63.9805; -22.8789
KEF38; 63.6688; -21.2933
KEF39; 63.8689; -22.11557
KEF40; 63.5212; -21.5437
KEF41; 63.4151; -21.8507
KEF42; 64.2071; -24.0479
KEF43; 64.3626; -23.871
KEF44; 64.1027; -22.6377
KEF45; 64.0526; -22.5934
KEF47; 63.9838; -22.5729
KEF48; 63.9809; -22.3346
KEF49; 63.9833; -22.7656
KEF50; 63.9855; -22.6712
KEF51; 63.9833; -22.5012
KEF52; 64.0759; -20.7319
KEF53; 64.1052; -22.7525
KEF58; 63.9808; -22.8676
KEF59; 64.096 ; -22.7054
KEF60; 64.2129; -22.1671
KEF61; 64.166 ; -22.267
KEF62; 64.0758; -22.4438
KEF65; 63.8903; -22.4669
KEF70; 64.1163; -22.6829
KEF75; 63.8405; -22.5441
KEF76; 63.8502; -22.4767
KEF80; 64.0187; -22.3205
KEF81; 63.8768; -22.5286
KEF82; 64.0489; -22.3467
KEF84; 64.0358; -22.3741
KEF86; 64.212 ; -22.1307
KEF93;63.9372 ;-22.6027
KEF95;63.9757 ;-22.1613
KEF98;63.9778 ;-22.9846
KEF99;64.0068 ;-22.3535
KEILA;63.9822 ;-22.1586
KELAL;63.6251 ;-23.0816
KELDU;64.8811 ;-15.1942
KEMIS;63.4095 ;-23.3558
KF010;64.0398 ;-23.0892
KF060;63.988  ;-22.9852
KLAKI;64.6556 ;-15.7701
KOBBI;64.5489 ;-16.1558
LARUX;62.6217 ;-10.0
LUNDI;63.6453 ;-20.8214
MARAS;63.7878 ;-22.572
MARSA;63.7885 ;-22.5674
MAVUR;63.5063 ;-20.6051
METIL;63.9719 ;-21.5261
MIKLA;63.8483 ;-17.5742
MOSAP;64.567  ;-22.2783
MOTAK;63.5719 ;-22.5261
MOXAL;64.161  ;-18.0008
MUKKI;63.5675 ;-20.9419
MURTA;64.1358 ;-21.8111
MYRAR;64.7022 ;-22.1481
NITOL;64.3079 ;-22.4162
NONNI;65.3136 ;-19.4003
OSKUM;63.7291 ;-20.4317
OTRON;64.1864 ;-22.6174
R1700;63.985  ;-22.655
R1701;63.9645 ;-22.6055
R1702;63.9919 ;-22.6054
R1703;63.9851 ;-22.5924
R2160;64.1359 ;-21.9389
R2184;65.2759 ;-14.4099
RATSA;64.3003 ;-22.0605
REKVA;64.4417 ;-20.8211
RETUR;65.5386 ;-17.6246
RK015;64.1393 ;-21.9857
RK029;64.1498 ;-22.0334
RK050;64.1655 ;-22.1049
RK339;64.2209 ;-22.1504
ROSTI;63.4064 ;-14.1122
SA086;64.1631 ;-21.9467
SARAM;63.7876 ;-22.6066
SELUR;63.3999 ;-20.6489
SIRVO;63.1837 ;-22.1375
SITLA;63.6656 ;-22.4207
SKAGI;64.3055 ;-21.9713
SKALM;65.6286 ;-22.3601
SKARD;63.9428 ;-20.205
SKOGA;63.4905 ;-19.5472
SOGID;64.1525 ;-21.0675
SORPU;64.7147 ;-22.4733
SULAN;63.5978 ;-20.8844
SUMEL;63.7768 ;-21.8009
SUNAK;63.8403 ;-22.0195
TELDO;63.9825 ;-21.4789
TERTU;64.4342 ;-21.7286
THORI;64.3401 ;-19.0
TIBRA;64.2928 ;-20.9283
TJORN;65.657  ;-17.2439
VA004;65.0549 ;-14.7444
VA048;65.0795 ;-14.7713
VA243;65.0516 ;-14.7498
VA262;65.0711 ;-14.8127
VAKLO;63.9778 ;-23.07
VANDA;63.9664 ;-23.5631
ABAGU;52.5033333; -7.6466667
ADARA;51.5000000; -15.0000000
ADARU;52.5938333; -8.9309444
AGINI;53.1555278; -8.5794722
AGORI;57.0000000; -13.0000000
ALPHA;52.6394028; -9.0584139
AMDEP;51.5666667; -11.2166667
ARKIL;50.6577778; -8.0000000
ASDIR;52.5065556; -9.2904722
ASKUP;53.8925000; -6.1088889
ATSUR;50.0000000; -14.0000000
BAKUR;52.2416667; -5.6802778
BAL04;53.2948222; -6.3370056
BAL09;53.2883361; -6.1985528
BAL13;53.2805167; -6.0881944
BAL14;53.2816917; -6.0601528
BAL15;53.2979972; -6.4062278
BAL21;53.2680556; -5.8670778
BAL23;53.2682694; -5.8111472
BAL35;53.2238833; -6.5949917
BAL45;53.4811333; -6.1606611
BAL46;53.4087222; -6.2758000
BAL47;53.3603833; -6.3523444
BAL48;53.3174944; -6.4191750
BAL86;53.3532000; -5.8709028
BAL92;53.2081528; -5.8854972
BAMLI;54.1411111; -6.6511111
BANBA;51.9527778; -6.2391667
BAPDA;53.6277778; -6.4009722
BARNU;52.0377500; -8.6078889
BATED;53.4952222; -6.1118889
BEDRA;49.0000000; -15.0000000
BEGID;56.5000000; -14.0000000
BEPAN;52.5266667; -6.2636111
BEVES;52.6595833; -9.0147778
BEXET;54.0000000; -14.0000000
BIBLA;51.1358333; -8.9100000
BILTO;56.5000000; -15.0000000
BIMGO;49.5000000; -14.0000000
BUNED;52.6227778; -6.6300000
BUNON;52.3750000; -9.5436111
DEGOS;54.1891667; -6.9063889
DERAG;52.8629444; -8.5803889
DEVOL;53.8902778; -10.4341667
DEXET;54.7811111; -11.0736111
DIGAN;52.9370000; -8.1975000
DIMUS;52.2397222; -6.2513889
DINIL;53.6738889; -6.4569444
DINIM;51.0000000; -15.0000000
DIRUM;53.0027778; -6.6611111
DISUR;52.7252778; -9.0988333
DODIG;53.9627778; -6.4927778
DOGAL;54.0000000; -15.0000000
DOLIP;52.0000000; -12.0000000
DOLUL;52.0000000; -14.0000000
DUB01;53.4525889; -6.2725083
DUB10;53.4296889; -5.8764917
DUB15;53.3462194; -6.1771306
DUB16;53.5447972; -5.8668861
DUB17;53.6099139; -5.9003389
DUB21;53.4046222; -5.9906583
DUB28;53.4303583; -6.4315694
DUB64;53.6358861; -5.9231167
DUB71;53.4085333; -6.0554000
DUB87;53.5707611; -6.3558111
DUNLO;53.3300000; -5.5000000
DWE51;53.4125278; -6.1119167
DWE52;53.4015278; -5.9191111
DWS77;53.3476389; -6.1806389
DWS78;53.2350000; -6.4177778
DWW01;53.3817222; -6.6787778
ELPIN;56.0000000; -12.0000000
ELSOX;51.0000000; -14.0000000
EMPER;49.0000000; -9.0000000
ENIRI;53.0897222; -8.4050000
ENOKU;53.1011111; -7.6608333
ENULA;53.9725000; -8.2644444
EPUNA;50.5000000; -14.0000000
ERABI;53.0150000; -9.5675000
ERTER;51.5619444; -8.0602778
ERUDA;53.6747222; -6.2819444
ETARI;55.5000000; -15.0000000
EVRIN;51.7822222; -6.5633333
GATLO;52.6828611; -8.7407222
GELKI;53.9969444; -5.9041667
GERVO;53.0913889; -6.5066667
GILOG;52.7694444; -8.4239444
GIMRO;53.6527778; -5.7486389
GIPER;51.0000000; -12.0000000
GISTI;53.0000000; -14.0000000
"GOLF,;52.8757972; -8.6637917"
GORTO;52.9552778; -8.9585278
GULTU;52.8099444; -9.3881944
GUNSO;49.0527778; -11.7683333
IBROD;56.5000000; -10.0000000
IDE86;53.4385694; -6.5282833
INKUR;53.5975833; -7.3912778
ISE02;52.6856806; -8.9607500
ISE48;52.6477694; -9.0439361
ISE93;52.6026222; -9.1421556
KESIX;56.9500000; -14.0000000
KOGAD;49.5000000; -15.0000000
KOKIB;54.5000000; -14.0000000
KOMAG;51.7263889; -8.6152778
KORAK;53.3950000; -7.7930556
KUGUR;55.5000000; -10.0000000
KURUM;52.2286111; -8.6647222
LAPMO;53.4030556; -5.9455833
LASNO;48.5983333; -9.0000000
LEKVA;51.5000000; -14.0000000
LIFFY;53.4800000; -5.5000000
LILNO;51.5925000; -9.2200000
LIMRI;52.0000000; -15.0000000
LINRA;51.5797222; -10.0322222
LODLA;51.9361111; -10.5280556
LUNIG;52.3972222; -8.2758333
LUPOR;52.5422222; -9.7019444
MALOT;53.0000000; -15.0000000
